page,product_name,star,title,review,skin_type,brand_name,category,processed_review,star_numeric,sales_ranking,collabo
1,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,요즘 햇빛이 너무 따가운데 저는 햇빛받으면 잡티가 생겨서 잡티케어에 신경쓰고 있습니다.그래서 놀러갈 때나 밖에 오래 있을 때는 선패치를 붙이고 있습니다.잡티 잘 생기는 광대부위를 가려주니 든든합니다.잘 떨어지지 않고 쿨링감도 있어 붙일때 시원합니다.,"['건성', '쿨톤', '각질', '모공']",식물나라,sunpatch,"['요즘', '햇빛', '햇빛', '잡티', '잡티', '케어', '신경', '밖', '잡티', '광대', '부위', '쿨링감']",5,1,0
1,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,선패치 중에 이 제품이 가장 가성비가 좋아 보여서 구매했어요.해외여행 가서 사용하려고 아직 사용 전이긴 한데~크기도 생각보다 크고 사용방법도 간편해서 마음에 들어요.,"['중성', '쿨톤', '모공', '민감성']",식물나라,sunpatch,"['가성비', '해외여행', '크기', '생각', '방법', '간편', '마음']",5,1,0
1,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,여름에 햇볕이 너무 따가워서 구매해 봤습니다. 크기가 매우 크고 가성비가 다른 제품보다 좋아요,"['건성', '웜톤', '민감성', '주름']",식물나라,sunpatch,"['여름', '햇볕', '크기', '가성비']",5,1,0
1,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,야외활동할때 이만한게 없네요😆😆선크림 발라도 눈가는 항상 불안했는데이거 붙이니까 마음이 그렇게 편할수가 없어요ㅎㅎㅎ붙이는 순간 시원해서 그것도 너무 좋아요.세일할때 더 사놔야겠어요~!,"['복합성', '웜톤', '모공', '잡티']",식물나라,sunpatch,"['야외', '활동', '이만', '선크림', '발라', '불안', '마음', '순간', '세일']",5,1,0
1,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,많이 돌아다니고 땀이 많이나도 잘 안떨어지고 잘 붙어있어요 ㅎㅎ썼던 비슷한 제품들 중에 제일 나은듯합니당 ㅋㅋ,"['건성', '쿨톤', '모공', '미백']",식물나라,sunpatch,"['땀', '제일', '나은']",5,1,0
1,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,햇빛을 많이 받으면 잡티가 생겨서 신경쓰입니다.선크림을 꼼꼼하게 바른다고 해도 안보이던 잡티가 보여 거슬려서 밖에 오래 다닐때나 여행갈때는 선패치를 항상 가지고 가서 붙이고 있습니다.눈밑부터 광대등 잡티 많이 생기는 부위를 가릴 수 있어 든든합니다.피부에 닿을 때도 시원하고 답답하거나 하지 않아 잘 사용하고 있습니다.,"['건성', '쿨톤', '각질', '모공']",식물나라,sunpatch,"['햇빛', '잡티', '신경', '선크림', '안보', '잡티', '밖', '여행', '눈밑', '광대', '잡티', '부위', '피부']",5,1,0
1,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,피부레이저받고 요즘 붙이고다니고있어요선크림받으로는 부족하고 강력한 자외선차단시좋은것같아요ㅎㅎ덧발라주기도 더울때티는 좀 나지만 기미예방으로 최고임,"['복합성', '웜톤', '다크서클', '모공']",식물나라,sunpatch,"['피부', '레이저', '요즘', '부족', '자외선', '차단', '덧발라', '주기', '기미', '예방', '최고']",5,1,0
1,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,아빠가 골프치러간다구 사달라고해서 삿는데 안썻다네요..^^ 왜살라한겨,"['복합성', '여름쿨톤', '다크서클', '모공']",식물나라,sunpatch,"['아빠', '골프', '살라']",5,1,0
1,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 4점,,"일단 면적이 넓어서 좋고, 올영에서 파는 패치 중에 제일 가성비가 좋은듯여","['복합성', '웜톤', '다크서클', '모공']",식물나라,sunpatch,"['면적', '올영', '제일', '가성비']",4,1,0
1,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,여름에 햇살이 너무 뜨겁고 더워서 구매했어요ㅠㅠ 긴시간 야외활동할 때 잘 사용할 거 같아요ㅎㅎ,"['건성', '봄웜톤', '미백']",식물나라,sunpatch,"['여름', '햇살', '시간', '야외', '활동']",5,1,0
