page,product_name,star,title,review,skin_type,brand_name,category,processed_review,star_numeric,sales_ranking
1,식물나라 워터프루프 선 스프레이 1+1 기획,5,,가볍게 사용하기 좋아서 여름 물몰이할 때 사용할 예정입니다 가,"['복합성', '가을웜톤', '모공', '미백']",식물나라,sunspray,"['좋아서', '여름', '물', '몰이', '예정']",5,1
1,식물나라 워터프루프 선 스프레이 1+1 기획,5,,가격 저렴하고 간편하고 워터프루프까지 되니 너무 좋아요!,"['건성', '여름쿨톤', '각질', '모공']",식물나라,sunspray,"['가격', '간편', '워터프루프']",5,1
1,식물나라 워터프루프 선 스프레이 1+1 기획,5,,"워낙 유명한 제품 그냥 믿고 쓰는 제품 😎진짜 뿌리기만 하면 조금..? 덜 타는 기분이 납니다요즘 햇살이 워낙세서 꼭 뿌려주세요아주조금의 꿀팁이라면✨ 물기가 꼭 없는상태에서 뿌려주세요물기가 있으면 둥둥 뜨면서 지워져요!!조금이라도 도움되셨다면, 도움돼요👍🏻 부탁드려요💗","['건성', '각질', '모공']",식물나라,sunspray,"['기분', '납', '니다', '요즘', '햇살', '조금', '꿀', '물기', '상태', '둥둥', '조금', '도움', '도움', '부탁']",5,1
1,식물나라 워터프루프 선 스프레이 1+1 기획,4,,"여름에 썬크림을 꼭 발라줘야하는데썬크림, 썬스틱은 좀 찐득해지더라구요.이거는 끈적이지 않아서 여름에 항상 구매하는 제품💙","['건성', '웜톤', '각질', '모공']",식물나라,sunspray,"['여름', '썬크림', '썬크림', '썬스틱', '이거', '여름']",4,1
1,식물나라 워터프루프 선 스프레이 1+1 기획,5,,필수템필수템 요즘 날씨 미쵸돌아가지고 말벌아저씨마냥 올영달려가서 사옴.. 나올때 치이이이ㅣㄱ 온몸에 뿌려주고 나와요 시원해서 기분도 좋구 챙겨다니기도 좋습니당,"['지성', '여름쿨톤', '모공', '잡티']",식물나라,sunspray,"['필수템', '필수템', '요즘', '날씨', '말벌', '아저씨', '올영', '이이', '온몸', '기분']",5,1
1,식물나라 워터프루프 선 스프레이 1+1 기획,5,,차에다 두고 파우치에다 넣어도 두고 여기저기 두고 다니면서 뿌리기 간편한 제품으로 선크림 바르기도 찝찝한 요즘에는 뿌리는 게 가장 좋은 것 같아요 강추합니다,"['민감성', '겨울쿨톤', '모공', '미백']",식물나라,sunspray,"['파우치', '여기저기', '간편', '선크림', '요즘', '강추']",5,1
1,식물나라 워터프루프 선 스프레이 1+1 기획,5,,검색해보니 여러 사람들이 선스프레이의 사용 후기를 남기며 선스프레이가 편리하다고 추천했습니다 다양한 브랜드의 제품 중에서 식물나라 제품이 특히 눈에 띄었어요 올리브영에서 식물나라 선스프레이를 홍보하는 것을 보고 워터프루프 기능이 좋아 구매해보기로 결정했습니다 그후 제품 사용 후기를 기반으로 식물나라 선스프레이에 대한 관심이 뽕뽕 식물나라 선스프레이는 강력한 자외선 차단 기능을 자랑합니다 이 정도면 한여름의 강한 자외선도 막아줄 수 있어 안심이 됐어요 요즘 출근할때마다 팔에 뿌려주고 있어요 워터프루프 기능이 있어 물 속에서도 지속적인 보호를 제공합니다 게다가 올리브영에서 쉽게 구매할 수 있어 접근성도 뛰어납니다 특히 식물성 성분으로 만든 제품이라 피부 자극이 적고 민감한 피부에도 사용하기 좋습니다 ㅎㅎ개인적으로 정말 편리해요,"['민감성', '쿨톤', '각질', '모공']",식물나라,sunspray,"['검색', '사람', '편리', '추천', '브랜드', '식물나라', '올리브', '식물나라', '홍보', '워터프루프', '기능', '결정', '기반', '식물나라', '관심', '식물나라', '자외선', '차단', '기능', '자랑', '정도', '한여름', '자외선', '안심', '요즘', '출근', '팔', '워터프루프', '기능', '속', '지속', '보호', '제공', '올리브', '접근성', '식물', '성분', '피부', '자극', '피부', '개인', '편리']",5,1
1,식물나라 워터프루프 선 스프레이 1+1 기획,4,,제가 워낙 썬케어 바르는 걸 귀찮아하고 특유의 끈적거림과 냄새때문에 쓸 수 있는게 썬스틱과 썬스프레이밖에 없는 와중에 찾은 템입니다! 아쉬운 점은 올영에 썬스프레이가 다양하지 않았어요. 한 3-4개 뿌려봤는데 이게 제일 유분기가 없고 시원했어요. 향도 그 중에 제일 약했는데 그래도 저처럼 향에 예민한 분들은 좀 선크림 향이 강한편입니다.,"['민감성', '여름쿨톤', '다크서클', '블랙헤드']",식물나라,sunspray,"['제가', '썬', '케어', '특유', '냄새', '썬스틱', '썬스프레이', '와중', '올영', '썬스프레이', '-4', '제일', '유분기', '제일', '예민', '선크림', '한편']",4,1
1,식물나라 워터프루프 선 스프레이 1+1 기획,5,,물놀이 하면서 쓰려고 구매했어요물기 있는 상태에서 썬크림 바르는게 워낙 귀찮은 일이다보니 일단 물놀이 시작 전 썬크림 골고루 발라주고 이 썬스프레이로 코팅 작업 해준 후 물놀이 중간중간 뿌려줬더니 1도 타지 않을 수 있었어요!워터프루프 썬스프레리 최고 👍,"['건성', '여름쿨톤', '각질', '모공']",식물나라,sunspray,"['물놀이', '상태', '썬크림', '이다', '보니', '물놀이', '시작', '썬크림', '썬스프레이', '코팅', '작업', '물놀이', '중간', '중간', '워터프루프', '썬', '스프', '최고']",5,1
1,식물나라 워터프루프 선 스프레이 1+1 기획,5,,메이크업한 날엔 선크림을 어떻게 다시 바를까요??? 큰 문제이긴 해요이 제품 덕분에 선크림을 걱정하지 않고 매일 예쁜 메이컵을 할 수 있어요! 순하고 눈이 따갑지 않고 메이크업이 그대로 예뻐 보여요바르기 편하고 향이 나쁘지 않아요! 코덕이면 무조건 사세요!,"['복합성', '여름쿨톤', '각질', '다크서클']",식물나라,sunspray,"['메이크업', '선크림', '문제', '덕분', '선크림', '걱정', '메이', '메이크업', '예뻐', '나쁘지 않아', '코', '덕이', '무조건']",5,1
